name,formula,state,formula_raw,phase_flag,mw,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
nickel chloride,NiCl,g,NI  1.00CL  1.00    0.00    0.00    0.00,0,94.1461,182008.903,300,1000,0,0,0,3.4897757,0.003183793,-1.91E-06,-3.57E-10,4.61E-13,20725.935,9.54974436,1
nickel chloride,NiCl2,g,NI  1.00CL  2.00    0.00    0.00    0.00,0,129.5988,-73932.233,300,1000,0,0,0,4.5606177,0.013613713,-2.37E-05,1.96E-08,-6.24E-12,-10683.571,6.23619416,1
nickel oxide,NiO,g,NI  1.00O   1.00    0.00    0.00    0.00,0,74.6928,314003.739,300,1000,0,0,0,2.9919682,0.003330921,-1.54E-06,-1.56E-09,1.21E-12,36742.094,9.82140736,1
nickel sulfide,NiS,g,NI  1.00S   1.00    0.00    0.00    0.00,0,90.7594,357427.4,300,1000,0,0,0,3.1168107,0.004017353,-1.56E-06,-1.51E-09,9.37E-13,41896.857,11.4677351,1
oxygen,O,g,O   1.00    0.00    0.00    0.00    0.00,0,15.9994,249175.003,200,1000,6725.403,-7953.6113,160.7177787,1.966226438,0.00101367,-1.11E-06,6.52E-10,-1.58E-13,28403.62437,8.40424182,1
oxygen d,OD,g,O   1.00D   1.00    0.00    0.00    0.00,0,18.013502,37221.508,200,1000,8999.108,21186.91536,-278.598236,5.45621012,-0.00614812,9.12E-06,-5.53E-09,1.24E-12,4711.37503,-7.61661891,1
hydroxide,OH,g,O   1.00H   1.00    0.00    0.00    0.00,0,17.00734,39344.106,200,1000,8813.106,-1998.85899,93.0013616,3.050854229,0.001529529,-3.16E-06,3.32E-09,-1.14E-12,3239.68348,4.67411079,1
dioxygen,O2,g,O   2.00    0.00    0.00    0.00    0.00,0,31.9988,0,200,1000,8680.104,-34255.6342,484.700097,1.119010961,0.004293889,-6.84E-07,-2.02E-09,1.04E-12,-3391.45487,18.4969947,1
trioxygen,O3,g,O   3.00    0.00    0.00    0.00    0.00,0,47.9982,141800,200,1000,10366.417,-12760.59932,589.007757,-2.543736048,0.026892733,-3.53E-05,2.31E-08,-6.04E-12,13487.68455,38.5004291,1
phosphorus,P,g,P   1.00    0.00    0.00    0.00    0.00,0,30.973761,316500,200,1000,6197.428,50.4086657,-0.763941865,2.504563992,-1.38E-05,2.25E-08,-1.87E-11,6.23E-15,37324.2191,5.359303481,1
phosphorus monochloride,PCl,g,P   1.00CL  1.00    0.00    0.00    0.00,0,66.426461,134615.112,200,1000,9291.112,34888.617,-560.311934,6.26456848,-0.003183364,3.50E-06,-2.09E-09,5.42E-13,17746.53764,-8.074578922,1
phosphorus dichloride,PCl2,g,P   1.00CL  2.00    0.00    0.00    0.00,0,101.879161,-54292.353,200,1000,12248.757,51900.845,-1060.9042,10.5854994,-0.006879918,7.62E-06,-4.53E-09,1.12E-12,-3220.33118,-27.53519242,1
phosphorus trichloride,PCl3,g,P   1.00CL  3.00    0.00    0.00    0.00,0,137.331861,-289500,200,1000,15932.466,77177.4547,-1617.65086,15.3608047,-0.010110771,1.10E-05,-6.48E-09,1.58E-12,-29558.9364,-52.44339671,1
phosphorus pentachloride,PCl5,g,P   1.00CL  5.00    0.00    0.00    0.00,0,208.237261,-376000,200,1000,23305.466,102907.02,-2515.70746,24.3011497,-0.015646107,1.71E-05,-1.01E-08,2.46E-12,-37225.8237,-98.1633625,1
phosphorus monofluoride,PF,g,P   1.00F   1.00    0.00    0.00    0.00,0,49.9721642,-47944.793,200,1000,8891.107,22278.66728,-172.7508706,3.085366934,0.005489718,-8.25E-06,5.87E-09,-1.62E-12,-5809.27965,7.70971885,1
phosphorus monofluoride monochloride,PFCl,g,P   1.00F   1.00CL  1.00    0.00    0.00,0,85.4248642,-283184.119,200,1000,11630.381,54901.8853,-865.867948,7.94446765,0.000950378,-3.34E-06,3.02E-09,-9.45E-13,-31328.43217,-14.40427413,1
phosphorus monofluoride dichloride,PFCl2,g,P   1.00F   1.00CL  2.00    0.00    0.00,0,120.8775642,-511925.34,200,1000,14867.76,82665.6056,-1512.138928,13.03404207,-0.002903247,7.84E-07,6.46E-10,-3.74E-13,-56442.3787,-41.00906413,1
phosphorus monofluoride tetrachloride,PFCl4,g,P   1.00F   1.00CL  4.00    0.00    0.00,0,191.7829642,-635016.44,200,1000,21733.86,141207.1573,-2882.47108,23.87345233,-0.012395102,1.14E-05,-5.71E-09,1.20E-12,-66134.7865,-98.59694489,1
