Name,Formula,State,Formula-Raw,Phase-Flag,Molecular-Weight,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
magnesium hydride,MgH,g,MG  1.00H   1.00    0.00    0.00    0.00,0,25.31294,229786.104,1000,6000,8682.104,-100574.8598,1952.890106,-1.317191549,0.005603666,-2.14E-06,3.32E-10,-1.82E-14,15985.82755,34.3123316,1
magnesium iodide,MgI,g,MG  1.00I   1.00    0.00    0.00    0.00,0,151.20947,61206.317,1000,6000,9741.117,-2370562.811,6916.45248,-3.18389449,0.004051551,-9.77E-07,1.02E-10,-3.79E-15,-38185.5111,59.9310438,1
magnesium iodide,MgI2,g,MG  1.00I   2.00    0.00    0.00    0.00,0,278.11394,-171706.029,1000,6000,15294.471,-33402.9918,-9.34351178,7.50746854,-3.15E-06,7.24E-10,-8.57E-14,4.07E-18,-22945.55505,-5.24127259,1
magnesium nitride,MgN,g,MG  1.00N   1.00    0.00    0.00    0.00,0,38.31174,288691.678,1000,5000,0,0,0,4.2214417,0.000364892,-1.30E-07,2.44E-11,-1.69E-15,33382.931,2.73205196,1
magnesium oxide,MgO,g,MG  1.00O   1.00    0.00    0.00    0.00,0,40.3044,32261.307,1000,6000,8909.107,-15867383.67,34204.681,-17.74087677,0.007004963,-1.10E-06,8.96E-11,-3.05E-15,-230050.4434,173.8984472,1
magnesium hydroxide,MgOH,g,MG  1.00O   1.00H   1.00    0.00    0.00,0,41.31234,-132428.98,1000,6000,11124.284,664866.475,-1770.750355,7.26999927,0.000533684,-1.98E-07,3.03E-11,-1.55E-15,-6149.11456,-16.71027009,1
Mg(OH)2,MgO2H2,g,MG  1.00O   2.00H   2.00    0.00    0.00,0,58.31968,-551995.808,1000,6000,17131.558,1713709.254,-4730.00535,14.48925967,0.000190782,-1.23E-07,2.02E-11,-1.13E-15,-38877.2467,-58.4049812,1
magnesium sulfide,MgS,g,MG  1.00S   1.00    0.00    0.00    0.00,0,56.371,120649.311,1000,6000,9234.111,26507943.28,-77113.5586,84.6377168,-0.036442507,8.40E-06,-9.54E-10,4.26E-14,507893.117,-583.465583,1
dimagnesium,Mg2,g,MG  2.00    0.00    0.00    0.00    0.00,0,48.61,286513.315,1000,6000,9542.115,30382.24994,59.4524046,2.352706666,0.000137854,-5.90E-08,1.10E-11,-6.56E-16,33510.3656,15.88177377,1
magnesium fluoride,Mg2F4,g,MG  2.00F   4.00    0.00    0.00    0.00,0,124.6036128,-1718408.746,1000,5000,0,0,0,14.672016,0.001529932,-6.83E-07,1.35E-10,-9.74E-15,-211437.66,-44.278244,1
